Price,Close,High,Low,Open,Volume
2024-02-18,2878.998046875,2892.843505859375,2767.9130859375,2786.709716796875,23355830478
2024-02-19,2943.57470703125,2983.37060546875,2860.263671875,2881.296875,15163110589
2024-02-20,3013.503662109375,3031.5244140625,2879.9033203125,2944.1064453125,20341598470
2024-02-21,2970.35546875,3017.1904296875,2875.41845703125,3015.6533203125,18897136867
2024-02-22,2971.00732421875,3030.666015625,2907.109375,2969.599853515625,18058908246
2024-02-23,2921.658203125,2991.32958984375,2906.583740234375,2970.1396484375,12822717059
2024-02-24,2992.385986328125,3003.195068359375,2907.70068359375,2921.962890625,10701688842
2024-02-25,3112.697265625,3117.428955078125,2984.39306640625,2992.36669921875,14620450464
2024-02-26,3178.99365234375,3197.375,3037.95458984375,3112.529052734375,17504464351
2024-02-27,3244.519287109375,3287.9580078125,3167.83056640625,3178.405029296875,21090315368
2024-02-28,3385.703857421875,3485.450927734375,3201.575927734375,3243.893310546875,32885894265
2024-02-29,3341.919677734375,3518.96923828125,3303.9052734375,3386.802734375,28469171094
2024-03-01,3435.053955078125,3452.626220703125,3341.85107421875,3341.9658203125,16880101987
2024-03-02,3422.0498046875,3459.747314453125,3398.89892578125,3436.1591796875,12024340617
2024-03-03,3490.99365234375,3491.16845703125,3372.214111328125,3422.875244140625,13643324467
2024-03-04,3630.433837890625,3641.459228515625,3446.017578125,3489.340087890625,26772963830
2024-03-05,3554.964599609375,3828.15966796875,3224.119384765625,3631.928955078125,47706899137
2024-03-06,3819.226318359375,3901.434326171875,3502.802490234375,3554.06787109375,34938642613
2024-03-07,3874.34765625,3939.593994140625,3738.685302734375,3818.31103515625,22457177587
2024-03-08,3892.06103515625,3998.826416015625,3828.36328125,3874.830810546875,26135487051
2024-03-09,3915.4189453125,3950.396484375,3880.658935546875,3892.119140625,11926623780
2024-03-10,3881.193115234375,3968.7236328125,3800.564453125,3915.590576171875,15783924355
2024-03-11,4066.445068359375,4087.050048828125,3745.125244140625,3881.23779296875,28806262507
2024-03-12,3980.273193359375,4092.2841796875,3831.889892578125,4066.6904296875,26917010932
2024-03-13,4006.45703125,4083.00732421875,3936.627197265625,3980.26513671875,22028114691
2024-03-14,3883.140380859375,4011.102783203125,3721.78857421875,4005.7451171875,25434810823
2024-03-15,3735.22021484375,3928.775634765625,3571.774658203125,3882.85693359375,33505075433
2024-03-16,3522.860107421875,3780.89453125,3468.079345703125,3736.10498046875,20199855932
2024-03-17,3642.4130859375,3676.263427734375,3414.17236328125,3523.02978515625,19938757095
2024-03-18,3517.985107421875,3642.4970703125,3456.09130859375,3642.298828125,21162220224
